"","deaths"
"1",1
"2",3
"3",2
"4",5
"5",7
"6",7
"7",9
"8",12
"9",11
"10",20
"11",15
"12",22
"13",22
"14",23
"15",42
"16",40
"17",58
"18",60
"19",73
"20",54
"21",67
"22",114
"23",133
"24",141
"25",115
"26",68
"27",99
"28",105
"29",204
"30",204
"31",188
"32",217
"33",206
"34",115
"35",113
"36",166
"37",165
"38",407
"39",357
"40",346
"41",189
"42",338
"43",474
"44",449
"45",435
"46",428
"47",421
"48",275
"49",296
"50",600
"51",615
"52",610
"53",751
"54",730
"55",496
"56",396
"57",881
"58",749
"59",844
"60",824
"61",816
"62",485
"63",674
"64",1179
"65",888
"66",1188
"67",1001
"68",965
"69",653
"70",807
"71",1039
"72",1086
"73",1156
"74",1124
"75",956
"76",480
"77",623
"78",1262
"79",1349
"80",1473
"81",1005
"82",904
"83",525
"84",679
"85",1272
"86",1274
"87",1239
"88",909
